ID,Sitio,MO_pct,N_total_pct,P_disponible_ppm,Arena_pct,Arcilla_pct,Densidad_aparente_g_cm3
S001,Ladera alta,2.15,0.08,10.7,27.2,44.1,1.128
S002,Ladera alta,1.04,0.079,4.1,37.9,30,1.343
S003,Ladera alta,2.42,0.147,15.2,44,22.8,1.356
S004,Ladera alta,2.52,0.152,10.6,44.5,20,1.423
S005,Ladera alta,2.42,0.137,15.2,51.4,28.3,1.348
S006,Ladera alta,2.24,0.124,9.6,37.9,27.8,1.279
S007,Ladera alta,3.35,0.194,16.7,42.4,30.1,1.305
S008,Ladera alta,3.3,0.154,17.7,50.1,21.8,1.452
S009,Ladera alta,2.8,0.163,14.8,50.2,24.6,1.353
S010,Ladera alta,2.98,0.153,17,49.5,24.6,1.349
S011,Ladera alta,2.2,0.116,11,51.6,21.8,1.459
S012,Ladera alta,2.71,0.146,14.1,60.5,5,1.616
S013,Ladera alta,1.05,0.054,5.5,49.3,25.9,1.346
S014,Ladera alta,2.34,0.137,13.3,41,28.6,1.282
S015,Ladera alta,2.84,0.16,14,24.4,32.9,1.242
S016,Ladera alta,2.38,0.136,14.8,45.4,22.4,1.553
S017,Ladera alta,2.29,0.101,12.9,38.8,32.3,1.373
S018,Ladera alta,2.77,0.184,17.6,52.3,21.4,1.41
S019,Ladera alta,3.1,0.169,14.8,46.9,27.7,1.205
S020,Ladera alta,2.64,0.133,11,35.7,32.4,1.261
S021,Ladera alta,3.03,0.175,16.2,65.2,6.1,1.359
S022,Ladera alta,3.45,0.162,17.8,49.1,30.2,1.338
S023,Ladera alta,2.67,0.114,12.5,50.8,25.9,1.356
S024,Ladera alta,3.68,0.177,16.7,53.3,24.1,1.377
S025,Ladera alta,2.92,0.149,12.6,39.1,26.6,1.219
S026,Ladera alta,2.43,0.133,14.9,39.2,36.1,1.335
S027,Ladera alta,3.87,0.198,20.1,32.2,26.8,1.281
S028,Ladera alta,2.85,0.133,15,46.4,23.3,1.376
S029,Ladera alta,2.99,0.171,11.5,59.7,16.1,1.466
S030,Ladera alta,1.8,0.106,8.1,50.8,22.2,1.512
S031,Ladera media,3.09,0.177,15.9,39.4,29,1.235
S032,Ladera media,2.21,0.149,17.1,40.3,31.1,1.301
S033,Ladera media,3.99,0.167,20.8,38.4,36.7,1.288
S034,Ladera media,3.25,0.176,17.1,47,31.4,1.279
S035,Ladera media,4.04,0.189,20.3,45.4,31.5,1.282
S036,Ladera media,3.66,0.187,21.3,44.7,29.1,1.379
S037,Ladera media,3.68,0.218,22.3,53.4,27.4,1.349
S038,Ladera media,3.39,0.179,18.5,44.9,26.5,1.245
S039,Ladera media,2.77,0.191,21,49,26,1.49
S040,Ladera media,3.15,0.187,22.1,45.4,22.8,1.331
S041,Ladera media,2.87,0.124,15.5,48.2,26,1.326
S042,Ladera media,3.3,0.148,15.9,46.4,36,1.303
S043,Ladera media,3,0.158,17.1,56.2,18.8,1.448
S044,Ladera media,2.56,0.141,16.4,42.8,31.8,1.295
S045,Ladera media,2.78,0.142,16.6,33.4,33.7,1.328
S046,Ladera media,3.26,0.138,13,27.3,37.3,1.162
S047,Ladera media,3.84,0.193,16.9,31.3,39,1.194
S048,Ladera media,3.7,0.201,18.3,41.3,33.7,1.279
S049,Ladera media,3.03,0.167,19.3,24.2,31.8,1.245
S050,Ladera media,3.58,0.175,18.2,42.2,32,1.203
S051,Ladera media,2.97,0.148,13.7,40.4,26.4,1.32
S052,Ladera media,3.03,0.191,19.4,42.5,23.3,1.323
S053,Ladera media,2.28,0.138,16.8,57.3,19.8,1.501
S054,Ladera media,4.48,0.22,16.5,41.5,28,1.265
S055,Ladera media,3.22,0.171,17,35.6,27.5,1.287
S056,Ladera media,3.48,0.192,17,37.2,28.6,1.294
S057,Ladera media,3.62,0.215,18.4,46.5,26.6,1.258
S058,Ladera media,3.39,0.161,18.2,45.3,34.7,1.304
S059,Ladera media,2.05,0.135,12.8,40.6,29.4,1.309
S060,Ladera media,2.47,0.124,13.9,42.3,24,1.332
S061,Vega,3.54,0.182,17.7,42.5,25.5,1.333
S062,Vega,3.31,0.19,14.5,44.6,24.5,1.31
S063,Vega,3.7,0.184,25.4,35.8,40.5,1.258
S064,Vega,4.88,0.235,25.7,37.3,31.8,1.188
S065,Vega,4.24,0.237,27.2,37.1,29.9,1.284
S066,Vega,4.47,0.206,22.9,43.5,27.7,1.286
S067,Vega,2.65,0.194,17.5,53.9,24.1,1.374
S068,Vega,4.53,0.246,25.7,42.2,24.9,1.274
