ID,Parcela,Altura_cm,Peso_kg,Volumen_mm3,Conductividad_uS_cm,pH,Clorofila_SPAD,Densidad_g_cm3
E001,P1,170.8,75.27,294667,1190.7,6.73,38.5,0.821
E002,P2,177.4,68.14,316413,1225.8,6.46,41.1,0.804
E003,P3,167.3,62.97,261707,698.9,7.25,29,0.772
E004,P4,163.2,62.38,240755,1329.8,6.17,43.8,0.835
E005,P1,153.5,59.4,222179,1189.1,6.63,38.3,0.813
E006,P2,175.8,72.71,304403,1515.9,6.44,47,0.846
E007,P3,146.8,58.49,254081,1262.2,6.49,39.4,0.751
E008,P4,148.7,73.57,271304,1195.4,6.4,44.8,0.797
E009,P1,155.9,64.89,264467,816.8,6.5,41.1,0.775
E010,P2,152.3,59.79,242247,1203.8,6.51,40.1,0.79
E011,P3,165.3,67.26,256314,890.3,6.58,34.4,0.726
E012,P4,163.4,61.19,283918,1132.1,6.68,40.5,0.842
E013,P1,110.4,36.13,137792,1542.3,6.25,43.1,0.866
E014,P2,179.1,72.84,314220,887.8,7.06,34,0.752
E015,P3,158.7,60.19,281799,760.1,6.8,37,0.793
E016,P4,144.9,53.89,247755,989.9,6.59,39.7,0.807
E017,P1,141.9,61.93,237310,1230.5,6.4,44.5,0.8
E018,P2,171.4,67.06,267560,1156.1,6.47,41.9,0.908
E019,P3,172.3,69.84,251864,858.9,6.88,38.1,0.871
E020,P4,166.2,61.73,257679,817.7,6.58,34.2,0.748
E021,P1,119.7,53.96,170719,1394.5,6.08,40.8,0.903
E022,P2,146.6,57.4,266088,1478.4,6.25,47.3,0.79
E023,P3,171.4,74.18,299949,1431.5,6.25,43.1,0.772
E024,P4,157.7,58.28,238946,903.2,6.57,39.2,0.853
E025,P1,135.9,47.1,216280,1486.4,6.38,37.9,0.771
E026,P2,121.5,41.34,139994,1128.6,6.74,36.2,0.764
E027,P3,128.5,44.45,152290,899.9,6.78,33.1,0.842
E028,P4,147.7,60.33,189992,1158.2,6.78,34.6,0.761
E029,P1,135.5,59.84,202296,852.1,6.71,39.7,0.815
E030,P2,135.7,59.85,221355,1020.8,6.64,36.3,0.819
E031,P3,144.3,71.56,280515,1047.1,6.51,38.2,0.833
E032,P4,167.2,63.62,308477,988.1,6.81,39.2,0.854
E033,P1,133.7,55.1,217854,714.1,7.07,36.1,0.831
E034,P2,162,66.84,263996,1493.1,6.19,43.6,0.878
E035,P3,151.1,61.24,259847,908.2,6.56,41,0.818
E036,P4,153.2,57.92,275735,1105.4,6.76,42.8,0.821
E037,P1,152.6,62.67,222528,1286.1,6.64,45.1,0.827
E038,P2,114.9,47.33,146810,964.6,6.85,35,0.881
E039,P3,184.2,75.04,327826,1518.2,6.12,48.5,0.823
E040,P4,130.4,53.47,171235,1519.2,6.2,43.1,0.868
E041,P1,185.2,73.05,299179,739.7,6.91,37.4,0.792
E042,P2,132.5,56.01,181481,482.5,7.32,28,0.85
E043,P3,167,65.97,298772,691.9,6.91,34.3,0.9
E044,P4,150.1,62.19,195463,1680.9,6.05,42.8,0.798
E045,P1,174.7,68.19,309908,1286.2,6.08,40.6,0.737
E046,P2,164.8,66.89,243088,1455.4,6.43,44,0.821
E047,P3,177.8,74.14,302152,1031,6.6,40.4,0.816
E048,P4,183,68.15,270098,1605.1,6.11,49,0.775
E049,P1,172.2,66.48,271853,1466.4,6.3,44.9,0.808
E050,P2,135.5,52.75,213831,1348.1,6.47,44,0.849
E051,P3,133.2,48.15,135263,1199.4,6.66,42.8,0.803
E052,P4,127.3,56.23,187436,1527.9,6.22,42.5,0.793
E053,P1,201.2,80.4,378709,1241.3,6.34,38.6,0.796
E054,P2,122.6,51.56,200962,1099.7,6.86,41.2,0.832
E055,P3,164.7,62.95,305378,1002.8,6.86,35.7,0.825
E056,P4,172.5,62.54,290428,1461.7,6.1,45.6,0.729
E057,P1,183.2,78.84,292542,1355.1,6.49,44.9,0.843
E058,P2,151.2,56.15,223798,808.1,7.02,35.1,0.935
E059,P3,161.3,58.54,225740,629.4,7.19,30.2,0.876
E060,P4,178.5,67.75,306865,716,7.06,35.7,0.749
E061,P1,153.4,58.95,224769,1210.2,6.53,44,0.829
E062,P2,160.4,59.14,257336,1636.6,6.08,46.7,0.86
E063,P3,148.6,54.21,238910,1347,6.16,45.3,0.896
E064,P4,165.4,72.59,295926,1227.2,6.51,38.8,0.801
E065,P1,121.5,46.48,136607,930.1,6.72,38.6,0.783
E066,P2,156.1,61.15,253778,1005.5,6.45,37.8,0.786
E067,P3,164.9,64.29,323944,1364,6.18,46.2,0.795
E068,P4,142.9,62.41,235507,1061.2,6.78,34.5,0.791
E069,P1,176.7,63.12,278900,932.6,6.55,41.4,0.793
E070,P2,170.8,65.28,298843,1418.1,5.98,45.6,0.742
E071,P3,154,69.71,280104,1385.6,6.37,43.2,0.806
E072,P4,153.3,68.66,244849,1532.3,5.81,41.9,0.885
E073,P1,137.5,56.95,241128,909.5,6.73,37,0.792
E074,P2,161.6,61.01,208862,985.8,6.4,38,0.814
E075,P3,167,68.8,285024,1084.7,6.79,38.6,0.708
E076,P4,132.2,44.75,187176,1196.8,6.53,39.6,0.848
E077,P1,160.3,67.27,268366,823.7,6.56,39.8,0.673
E078,P2,141.3,61.02,278257,1375.7,6.19,38.1,0.819
E079,P3,160.7,67.5,221613,1322.9,6.51,42.2,0.914
E080,P4,154,57.66,219347,1182.1,6.38,40.9,0.835
E081,P1,157,61.3,280478,1549.7,5.97,48.3,0.856
E082,P2,143.7,60.63,188255,568.5,7.11,33.1,0.85
E083,P3,153.7,58.06,234969,1326.9,6.23,40.2,0.769
E084,P4,145.3,55.19,244676,1350.2,6.25,44,0.871
E085,P1,143.1,55.61,203073,886.8,6.79,38.8,0.879
E086,P2,110.6,47.5,132092,1190.3,6.61,44.5,0.933
E087,P3,149,59.38,267008,1552.5,6.15,44.5,0.879
E088,P4,177.3,66.04,266865,932.4,6.79,34.8,0.814
E089,P1,144.5,57.95,282343,1381.1,6.34,42.2,0.886
E090,P2,147.8,56.8,261850,1164.4,6.42,42.8,0.858
E091,P3,144,52.98,243488,1352.7,6.14,41.2,0.777
E092,P4,147.8,63.72,214149,880.1,6.77,37.6,0.792
E093,P1,171.4,71.32,312654,1034.1,6.72,34.3,0.826
E094,P2,164.5,69.51,273969,1026.5,6.83,33.2,0.855
E095,P3,169.9,63.07,278256,907,7.18,36.1,0.84
E096,P4,183.3,74.22,337868,1562.9,6.08,46.5,0.851
E097,P1,141.8,60.31,229640,804.9,6.82,33.4,0.78
E098,P2,152.3,63.78,267399,1027.6,7,33.7,0.862
E099,P3,134,53.75,253257,1013.1,6.92,37.2,0.824
E100,P4,149.8,69.62,294245,1183.2,6.41,36.7,0.831
