ID,Lote,Temperatura_C,Precipitacion_mm,Altitud_m,Pendiente_grados,Pedregosidad_pct,Profundidad_cm
N001,L1,23.7,569.8,1651,14,26.2,64.9
N002,L2,22.2,736,1644,14.5,21.5,70
N003,L1,17.6,614.2,1854,5.8,27.5,55.6
N004,L2,17.6,729.1,2333,17.1,25.1,57.6
N005,L1,24.2,718.3,1953,11.2,33.2,47.6
N006,L2,22.9,830,1804,11.9,14.2,52.3
N007,L1,19.6,668.9,1924,18,32.2,56.8
N008,L2,14.5,758.6,1538,12.8,19.4,78.5
N009,L1,19.2,1000.7,2299,13,24.4,43.6
N010,L2,21.3,793.5,1827,16.5,28.8,50
N011,L1,12.3,620.1,1716,16.2,19.9,53
N012,L2,14,772.1,2165,6.3,32.7,54.4
N013,L1,21,774.9,2039,16.6,23.2,48.9
N014,L2,19.1,757.2,1789,12.6,29,49.1
N015,L1,17.4,678.9,1742,19,28.5,51.3
N016,L2,17,671.6,1426,12.2,17.3,63.4
N017,L1,18.3,891.4,1990,11.7,15.8,67.9
N018,L2,22.6,568.9,1935,15.7,14.3,40.1
N019,L1,20.5,736,1803,13.5,19.8,44.3
N020,L2,24.6,639.7,1703,16,19.8,60.9
N021,L1,17.4,709.4,1972,13.6,25.3,42
N022,L2,18.6,861.7,1925,12.4,21.7,42.6
N023,L1,19.6,807.7,1200,15.1,23.8,66.2
N024,L2,19.8,779.1,1941,15.3,24.9,46.6
N025,L1,17.2,734.5,1883,9.4,21.6,42
N026,L2,19.6,605.9,1861,14.6,13.8,43.3
N027,L1,14,660.6,1632,16.4,32.9,48.8
N028,L2,20.4,759.6,1641,19.9,28,41.5
N029,L1,19.5,574.1,1880,10.5,22.7,42.9
N030,L2,21.9,603.5,1646,12.7,31.3,54.9
N031,L1,22.6,590.8,1565,14.7,32.1,58
N032,L2,22.1,877.3,1777,15.7,19.3,42.1
N033,L1,15.6,725.2,1815,17.4,12.9,48.7
N034,L2,17.3,697.2,1796,15.7,14.9,40.9
N035,L1,14.9,701.6,1905,8.8,26.4,54
N036,L2,12.2,694.5,1862,12.6,23,43.6
N037,L1,21,573.3,1749,12.3,31.7,39.7
N038,L2,17.7,832.3,1988,18.3,29.5,54.6
N039,L1,18.8,571.7,1843,12.8,15.4,44.5
N040,L2,17.4,796.5,1681,15.9,32.1,49.4
N041,L1,22.4,882.7,2126,6.8,27.5,54.2
N042,L2,22.3,713.2,2133,8.4,25.1,48.2
N043,L1,22.5,669.5,1863,14.9,27,58.5
N044,L2,20.5,745.9,1548,13.7,27.2,47.4
N045,L1,21,731.2,1931,16.5,16.6,47.8
N046,L2,15.4,692.3,1833,15.2,27.7,43.9
N047,L1,19.1,918.6,1619,10.5,25.3,51.2
N048,L2,14.2,1050,1955,15.4,13.9,57.6
N049,L1,18.8,578.9,1919,8,22.9,59.9
N050,L2,16.7,672.4,1855,10.6,26.6,38.3
N051,L1,20.8,679.4,1899,8.6,31,46.6
N052,L2,22.4,772.9,1689,12.1,25.6,48
N053,L1,20.7,826.2,1998,10.9,20.8,55.8
N054,L2,18.4,636.7,2091,12.3,32.5,48.2
N055,L1,16.6,800.3,1615,11.3,28.9,44.9
N056,L2,18.8,897.2,2070,9.2,7,63.2
N057,L1,21.8,945.7,1652,11.8,21.1,38.2
N058,L2,14.5,467.1,1633,10.2,16.3,47.8
N059,L1,18.9,989.7,1979,17.7,29.8,49.1
N060,L2,18.2,924.1,2132,14,28.1,59.6
N061,L1,22.5,678.9,2184,13.9,24,38.3
N062,L2,15.7,681.5,2286,9.2,23.5,49.8
N063,L1,17.9,762.9,1953,18.5,34.3,70.1
N064,L2,16.4,732.5,1883,15.4,20.1,62.1
N065,L1,17.4,878.5,2031,12.4,26,60.3
N066,L2,19.7,750.5,1920,11.5,25.5,36.8
N067,L1,22.8,857.2,2089,11.9,26.9,48.2
N068,L2,16.4,870.9,1877,7.4,24.6,55.5
N069,L1,19.1,633,1873,10.9,28.6,43.4
N070,L2,21.1,762.1,2154,19.6,21.3,60
N071,L1,17.1,690.9,1677,9.9,22.6,53.9
N072,L2,16.8,876.3,1596,15.6,27.1,54.2
N073,L1,18.4,928,1828,10.8,24.4,56.9
N074,L2,19,702.8,2104,13.2,22.9,66.8
N075,L1,20.2,631.5,1754,16.5,25.9,46.3
N076,L2,16.5,722.2,1856,10.9,21,38.9
N077,L1,16.3,828.4,2145,14.1,20.1,37
N078,L2,20.3,964.6,1853,15.3,20.7,57.1
N079,L1,18,826.3,1372,8.1,25.6,51.2
N080,L2,15.2,784.6,1418,19.1,13.7,57.8
