ID,Especie,Largo_mm,Ancho_mm,Area_mm2,Peso_mg,Grosor_mm,Dureza_N,Aceite_pct,Proteina_pct,Humedad_pct
G001,Silvestre,7.22,4.27,24.23,27.7,1.74,16.1,30.4,18.8,8.14
G002,Silvestre,10.66,5.75,48.12,58.3,2.08,18.2,26.9,23.2,9.37
G003,Silvestre,7.81,4.96,30.42,38.9,2.18,17.5,28.8,21.8,8.37
G004,Silvestre,7.69,4.85,29.3,38.3,1.81,14.5,26.5,22.9,8.25
G005,Silvestre,6.69,3.98,20.93,34.8,1.65,12.6,31.2,17.9,10.52
G006,Silvestre,8.23,4.83,31.2,40.5,1.79,15.5,30.7,20.9,9.64
G007,Silvestre,7.82,4.22,25.91,31.7,1.73,15.6,31.4,18.2,8.34
G008,Silvestre,9.73,5.47,41.82,44.1,2.07,16.2,25.8,24.5,13.16
G009,Silvestre,8.04,5.26,33.2,41.3,1.38,11.8,27.8,22.7,10.98
G010,Silvestre,7.96,4,24.96,35.6,2.31,22,26.7,25.3,8.81
G011,Silvestre,8,4.76,29.95,38.4,2.03,20.9,31.5,18,9.84
G012,Silvestre,6.42,4,20.17,25.3,2.16,19.8,28.4,24.8,8.7
G013,Silvestre,6.92,4.14,22.53,28.9,2.05,13.9,20.4,25.3,9.3
G014,Silvestre,8.94,4.66,32.73,41.6,1.81,14.2,31.6,21.4,10.51
G015,Silvestre,6.8,4.11,21.94,29.9,2.12,18.1,26.5,21.6,9.31
G016,Silvestre,7.73,4.6,27.92,33.7,2,19,24.5,26.4,9.02
G017,Silvestre,11.6,3.45,31.43,30.8,1.86,29.5,25.8,24.2,9.24
G018,Silvestre,7.22,4.55,25.81,33.9,1.8,17,33.7,18,8.36
G019,Silvestre,8.74,4.88,33.5,49.1,1.63,14.2,29,23.2,11.41
G020,Silvestre,7.87,4.42,27.29,37.3,2.07,18.5,29.2,21.4,8.68
G021,Silvestre,8.12,4.64,29.58,37.8,2.09,18.7,27.8,23.7,11.33
