Parcela,Tratamiento,Bloque,Altura_cm,Biomasa_g,Area_foliar_cm2,Diametro_tallo_mm,Conductancia_mmol,Potencial_hidrico_MPa,Temp_hoja_C,N_foliar_pct,Clorofila_SPAD,P_foliar_pct,Dias_floracion,Dias_madurez,Rendimiento_kg_ha
PAR001,Testigo,B1,94.8,296.1,1876.8,11.31,281.6,-1.232,26.12,3.084,47.1,0.3114,62.4,108.5,4636.7
PAR002,Riego,B1,86.2,281.1,1556.3,10.67,286.4,-1.172,26.1,3.479,40.9,0.3064,70.5,121.3,4189.2
PAR003,Fertilizacion,B1,91.8,296,1735.2,11.14,234.4,-1.56,28.83,3.65,41.5,0.324,72.7,131,4646.4
PAR004,Riego+Fert,B1,106.1,278.1,2540.3,13.45,240.2,-1.467,29.15,3.801,46,0.3529,69.6,128.1,5229.5
PAR005,Testigo,B1,74.2,236.1,1331.3,10.95,255.8,-1.554,28.56,2.443,32.8,0.2246,61.4,112.6,3413.1
PAR006,Riego,B1,101.8,352.7,2563.2,14.38,266.7,-1.638,28.87,3.7,45.7,0.3136,62.3,117.2,5471.6
PAR007,Fertilizacion,B1,103.4,341.1,2709,14.58,190.5,-1.669,30.31,2.988,37,0.3073,73,124.9,5187.4
PAR008,Riego+Fert,B1,100.4,268.2,2314.4,12.37,314.3,-1.041,26.29,3.127,43,0.3389,64.5,116,5516.9
PAR009,Testigo,B1,91.3,323.2,2084.8,12.14,248.6,-1.283,27.69,2.949,38.7,0.2862,64.8,120.8,4682.2
PAR010,Riego,B1,105.3,308.9,2182.3,12.65,301,-1.137,25.41,3.024,40.5,0.2801,68.3,117.7,5088.5
PAR011,Fertilizacion,B1,117.1,397.8,2656.8,14.56,231.5,-1.827,29.11,3.439,44.7,0.3352,71.2,134.1,6076.4
PAR012,Riego+Fert,B1,105.4,315.8,1981.1,11.84,176.3,-1.943,30.32,3.2,43.3,0.3278,68.3,119.9,4816.9
PAR013,Testigo,B1,94.5,333.1,2501.9,13.53,296,-1.533,28.55,2.631,40.5,0.258,70.6,125.3,4988.5
PAR014,Riego,B1,104.1,353.2,2287.8,13.94,327.5,-1.015,26.62,2.663,37,0.2713,70.4,128.2,4457.6
PAR015,Fertilizacion,B1,97.8,305.6,1950.5,12.89,268.9,-1.305,27.95,3.164,44.4,0.3074,61.9,114.9,4784
PAR016,Riego+Fert,B1,123.6,473.5,3400,14.76,202.8,-1.902,29.18,3.675,46.2,0.3634,62.4,123.9,6302.3
PAR017,Testigo,B1,107.5,365.9,2712.4,14.32,293.1,-1.379,27.77,2.847,35.9,0.2523,64.3,127.3,4827.5
